cycle,entity_type,entity_id,entity_name,entity_subtype,party_label,party_score_dem,party_score_rep,lean_dem_amt,lean_rep_amt,mixed_amt,unknown_amt,lean_measure_total,coverage_total,coverage_ratio,classification_method,classification_source,scope
2024,committee,C00657866,PROTECT FREEDOM POLITICAL ACTION COMMITTEE,O,R,0.0,1.0,1213270,7044906,0.0,0.0,8258176,8258176,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C90018904,THE CONSERVATIVE CAUCUS DBA AMERICANS FOR CONSTITUTIONAL LIBERTY,I,R,0.0,1.0,40335,8074510,0.0,0.0,8114845,8114845,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00841593,TELL IT LIKE IT IS PAC,O,Mixed,0.3755610102893711,0.6244389897106288,2903348,4827348,0.0,0.0,7730696,7730696,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00544387,AMERICAN PRINCIPLES PROJECT PAC,O,R,0.0,1.0,418334,7309944,0.0,0.0,7728278,7728278,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00790923,"BUCKEYE LEADERSHIP FUND, INC.",O,D,1.0,0.0,6462155,1202374,0.0,0.0,7664529,7664529,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00786830,WELCOMEPAC,W,D,1.0,0.0,7525625,0,0.0,0.0,7525625,7525625,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00540443,GIFFORDS PAC,W,D,1.0,0.0,7353376,1000,0.0,0.0,7354376,7354376,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00876482,RETIRE CAREER POLITICIANS,O,D,1.0,0.0,7233408,0,0.0,0.0,7233408,7233408,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00530766,WOMEN SPEAK OUT PAC,O,R,0.0,1.0,0,6935724,0.0,0.0,6935724,6935724,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00833749,AMERICAN EXCEPTIONALISM PAC,O,R,0.0,1.0,0,6554122,0.0,0.0,6554122,6554122,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00011114,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E,Q,D,1.0,0.0,6525859,10000,0.0,0.0,6535859,6535859,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00668905,AMERICAN PATRIOTS PAC,O,Mixed,0.4621043501406602,0.5378956498593398,2718711,3164616,0.0,0.0,5883327,5883327,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00797670,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE POLITICAL ACTION COMMITTEE,Q,Mixed,0.44371969853241516,0.5562803014675848,2598490,3257662,0.0,0.0,5856152,5856152,1.0,candidate_facing_committee_activity,24k_contributions,all_committees
2024,committee,C00633248,314 ACTION FUND,W,D,1.0,0.0,5604638,100007,0.0,0.0,5704645,5704645,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00365536,CHC BOLD PAC,Q,D,1.0,0.0,5688857,0,0.0,0.0,5688857,5688857,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00835967,CONSERVATIVES FOR AMERICAN EXCELLENCE INC.,O,D,1.0,0.0,4024692,1625311,0.0,0.0,5650003,5650003,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00769232,JEFFERSON RISING,O,R,0.0,1.0,0,5639747,0.0,0.0,5639747,5639747,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00448696,SENATE CONSERVATIVES FUND,Q,R,0.0,1.0,0,5525279,0.0,0.0,5525279,5525279,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00859355,BATTLEGROUND NEW YORK,O,D,1.0,0.0,5498621,0,0.0,0.0,5498621,5498621,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00845685,LEADERSHIP FOR OHIO FUND,O,Mixed,0.4069042615899039,0.5930957384100961,2229013,3248966,0.0,0.0,5477979,5477979,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00855064,CONSERVATIVE VALUES FOR UTAH,O,R,0.0,1.0,353009,4989117,0.0,0.0,5342126,5342126,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00725820,THE LINCOLN PROJECT,V,D,1.0,0.0,5339832,0,0.0,0.0,5339832,5339832,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00880765,A BETTER WISCONSIN TOGETHER ACTION,O,D,1.0,0.0,5110112,6314,0.0,0.0,5116426,5116426,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00869073,POWER TO THE POLLS FEDERAL FUND,O,D,1.0,0.0,5062847,1584,0.0,0.0,5064431,5064431,1.0,candidate_facing_committee_activity,ie_spending,all_committees
